"","fips","county_name","state_name","type","relative_mobility","absolute_upward_mobility","top1pc_share","gini","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","foreign_share2010","med_hhinc1990","poor_share2000","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","nonwhite_share2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","stay_cz","leave_cz"
"658",17131,"Mercer","Illinois","metro",0.254,50.8,0.047,0.264,68847.703,28.829334,0.1264561,0.0072822236,27268.1585736887,0.078304812,0.0038434272,0.97603881,0.012737118,0.0016056766,3.2380629,546.31317,0.20272163,0.26685598,0.60332292,87.027451,0.011247837,0.031763412,30.215555,-0.0057080342,13.784722,0.6004,0.3996
"659",17133,"Monroe","Illinois","metro",0.265,51.1,0.052,0.22,89554.875,30.84021,0.20432183,0.0089430921,34877.9113020217,0.033423435,0.00094601506,0.98321104,0.0073758136,0.0029765191,3.8080328,811.76685,0.15898484,0.21679318,0.68334454,88.848549,NA,0.029310923,71.735802,0.0051465975,42.972908,0.7151,0.2849
"660",17135,"Montgomery","Illinois","rural",0.414,44.2,0.072,0.305,59515.203,26.150057,0.11602709,0.013479181,24057.5504801864,0.13419372,0.023275755,0.96032023,0.0088040205,0.0022837706,2.814204,618.42963,0.2525138,0.42745554,0.55504715,84.621651,0.099164672,0.058796179,43.559139,-0.0085216733,15.955958,0.5893,0.4107
"661",17137,"Morgan","Illinois","micro",0.41,41.4,0.09,0.374,66280.398,20.340925,0.19902831,0.010181474,26864.4173324697,0.098893888,0.054872643,0.92049587,0.013098814,0.0043220981,2.5253692,595.09149,0.2813493,0.53520894,0.59586555,84.262436,0.13535587,0.10155568,64.375137,-0.0037061339,28.19665,0.5317,0.4683
"662",17139,"Moultrie","Illinois","rural",0.347,45.8,0.11,0.344,70008,22.208084,0.14812124,0.012817935,27901.7321847246,0.078510806,0.0026257255,0.98552489,0.0047505079,0.0011913574,3.5909636,637.44617,0.18375586,0.4343636,0.6256038,85.588036,-0.0098156603,0.02168934,42.528049,-0.010740378,19.598562,0.5969,0.4031
"663",17141,"Ogle","Illinois","micro",0.28,45.8,0.04,0.266,79651.672,23.910805,0.16958544,0.049901478,31604.1706158931,0.07012102,0.0059202607,0.92276639,0.05958252,0.0035587365,3.4027948,671.32574,0.21947722,0.36714,0.64499289,85.91011,0.14267313,0.11350168,67.273682,-0.0044906717,30.6457,0.612,0.388
"664",17143,"Peoria","Illinois","metro",0.432,37.9,0.128,0.483,77607.906,20.081034,0.24004284,0.042317145,31403.9248625255,0.12864204,0.15550824,0.79832953,0.020178523,0.015900332,2.6390991,771.82385,0.32210496,0.35915744,0.60433829,81.463768,-0.046065781,0.27279162,296.23715,0.0010160201,136.50458,0.6303,0.3697
"665",17145,"Perry","Illinois","rural",0.382,45.2,0.04,0.28,58630.125,24.160192,0.099275269,0.014830586,23928.8506040268,0.12952027,0.084835462,0.88770396,0.017965714,0.0023106365,2.7629879,601.54834,0.25550362,0.38630083,0.49216154,85.769249,0.29802215,0.12917227,52.277256,-0.020882586,18.1705,0.6389,0.3611
"666",17147,"Piatt","Illinois","metro",0.337,46.6,0.066,0.255,77731.469,24.83293,0.21341923,0.012913556,31577.3117291835,0.048647605,0.0033042685,0.98321629,0.0062556583,0.0012309853,4.0924802,652.20154,0.17897499,0.34073952,0.66778857,86.783348,0.15994184,0.027078725,37.260761,-0.0096472846,17.707115,0.6058,0.3942
"667",17149,"Pike","Illinois","rural",0.372,47.4,0.064,0.337,55425.566,25.156914,0.099297799,0.0098137278,20491.4271202517,0.12381101,0.016543165,0.96935934,0.0050345873,0.0018310047,2.7067556,528.00232,0.20939055,0.43206754,0.56424695,82.117867,0.16127345,0.038222745,20.909786,-0.01260012,8.5568466,0.5866,0.4134
"668",17151,"Pope","Illinois","rural",NA,NA,NA,NA,54838.164,31.450396,0.10550077,0.016125431,19186.2986577181,0.18162398,0.040221713,0.92904449,0.0091736233,0.0025274463,2.7523,575.76843,0.23569658,0.15926859,0.52202392,76.768013,0.19135028,0.092841186,11.966808,-0.010522115,4.5068741,0.6186,0.3814
"669",17153,"Pulaski","Illinois","rural",0.34,38.6,0.075,0.399,47119.336,27.148003,0.070890494,0.039879624,15594.1373153709,0.2464928,0.30701235,0.66314507,0.014516361,0.0070180795,1.3158122,433.42056,0.36899367,0.31684318,0.51414931,73.44519,0.20591442,0.36098036,36.890514,-0.033992652,9.7347174,0.5658,0.4342
"670",17155,"Putnam","Illinois","micro",0.363,42.6,0.149,0.291,72546.125,24.107418,0.12070409,0.020206867,29594.9826839827,0.055326782,0.0085849594,0.95586646,0.027962964,0.0026336259,3.9837594,700.93726,0.18439287,0.31845707,0.60249382,85.670349,0.078431442,0.058608036,37.9995,-0.0036483675,17.176575,0.651,0.349
"671",17157,"Randolph","Illinois","rural",0.37,47.7,0.102,0.33,65453.957,23.795408,0.093703724,0.013407836,25894.2724823989,0.10050869,0.065552734,0.91453761,0.01114493,0.0021205442,2.4390266,592.64954,0.25053895,0.4529784,0.54989868,85.433456,0.13008541,0.13570917,58.893135,-0.0091245305,22.893137,0.5837,0.4163
"672",17159,"Richland","Illinois","rural",0.346,46.2,0.1,0.393,57939.965,16.902193,0.15181744,0.014101335,23002.3810423446,0.13157368,0.0038754595,0.97647566,0.0077022118,0.0054550106,3.3317435,594.30646,0.27042046,0.58053267,0.57289881,87.086868,0.054269142,0.034497626,44.859581,-0.00013146436,18.769966,0.5192,0.4808
"673",17161,"Rock Island","Illinois","metro",0.381,42,0.103,0.381,69951.82,19.871986,0.16699789,0.063934818,27364.4033178234,0.10794007,0.081655264,0.81343347,0.086011723,0.0092893131,2.6712511,750.05304,0.32794362,0.37406203,0.60563052,81.587166,0.080630295,0.24251419,349.29929,-0.0063797142,157.75455,0.6627,0.3373
"674",17163,"St Clair","Illinois","metro",0.445,37.6,0.131,0.475,74087.016,26.31601,0.20129961,0.024540855,29593.8593867167,0.13036309,0.25237978,0.70503283,0.022717219,0.0086007044,2.6262476,810.24365,0.34727696,0.29131326,0.57901359,80.714569,0.054611165,0.37102675,389.32379,0.0050609102,175.24907,0.6807,0.3193
"675",17165,"Saline","Illinois","rural",0.435,42.8,0.112,0.427,54156.461,22.800468,0.12148084,0.010385659,19225.4800408544,0.14236146,0.043045558,0.93787026,0.0094457893,0.0016703457,2.1602757,616.49396,0.27110583,0.43770692,0.49827465,83.038353,-0.047020622,0.07634569,70.383713,-0.010437985,26.557457,0.5745,0.4255
"676",17167,"Sangamon","Illinois","metro",0.409,39.4,0.2,0.462,83047.984,20.599026,0.29043129,0.028577957,34695.9884560984,0.087747462,0.094589047,0.87536788,0.010324352,0.0094956718,2.9282293,813.32373,0.30769727,0.3713333,0.66738439,83.784508,0.09568771,0.17460309,217.60927,-0.00079621462,110.93235,0.6212,0.3788
"677",17169,"Schuyler","Illinois","rural",0.287,47.9,0.031,0.263,60230.793,22.919859,0.11717255,0.025872465,21822.8712946669,0.10110071,0.0025307797,0.98594093,0.005479028,0.0013619629,2.5959511,611.93494,0.19329263,0.43751538,0.6296528,80.817154,0.23260494,0.050503697,16.440529,-0.024495689,7.2883525,0.4666,0.5334
"678",17171,"Scott","Illinois","micro",NA,NA,NA,NA,60837.25,25.482727,0.12081698,0.0083006965,23335.0582633053,0.097261809,0.00054264901,0.99277985,0.0018032256,0.0011445249,3.021425,564.18317,0.21774581,0.30215076,0.63318288,84.504707,-0.054262038,0.020354789,22.06741,-0.0098797046,9.4654322,0.5912,0.4088
"679",17173,"Shelby","Illinois","rural",0.423,45.9,0.053,0.264,63432.629,27.242599,0.11333745,0.0098814089,26199.4447613846,0.091122359,0.001761237,0.9864167,0.0048124231,0.0019721158,3.438926,529.36829,0.20815794,0.32215092,0.59908462,84.330139,0.017197374,0.019720061,30.180983,-0.01228604,12.389852,0.5298,0.4702
"680",17175,"Stark","Illinois","metro",0.279,50.1,0.06,0.29,61138.559,26.579678,0.13358735,0.009202824,25036.7977977978,0.086135246,0.00094814494,0.98121184,0.00852264,0.0015805151,2.907866,544,0.17261651,0.34973645,0.53697932,83.149277,0.018776575,0.02802803,21.980082,0.001717509,9.0600147,0.4657,0.5343
"681",17177,"Stephenson","Illinois","micro",0.352,42.5,0.073,0.316,70241.055,20.536129,0.15534709,0.023398437,28935.3571454937,0.088466197,0.081676826,0.88883096,0.014986116,0.0061445623,2.586395,582.44037,0.26829579,0.51210415,0.61800343,86.203606,-0.040147793,0.14879169,86.761894,-0.011429857,36.499905,0.5681,0.4319
"682",17179,"Tazewell","Illinois","metro",0.345,43.9,0.074,0.315,79017.531,21.797661,0.18677934,0.015390783,32101.0557313031,0.061387151,0.010330555,0.96729034,0.010139977,0.004607528,3.4931357,751.30432,0.2272009,0.33520558,0.62558126,85.500084,0.073973328,0.04999483,197.98174,0.00098693755,97.278168,0.6654,0.3346
"683",17181,"Union","Illinois","rural",0.392,42.8,0.06,0.368,57473.07,23.869232,0.15785976,0.024655428,20348.1669621763,0.16460826,0.0094571067,0.95133978,0.026760139,0.0023014059,2.9003963,482.08813,0.25110579,0.39656326,0.52285975,84.157692,0.19245565,0.076033227,44.243805,-0.01583747,15.919353,0.621,0.379
